Ref_Date,GEO,Geographical classification,AGE,SEX,UNIT,Vector,Coordinate,Value
2000/2002,Canada,0,At age 65,Males,"Low 95% confidence interval, life expectancy",v53826689,1.2.2.2,17.0
2005/2007,Canada,0,At age 65,Males,"Low 95% confidence interval, life expectancy",v53826689,1.2.2.2,18.1
2006/2008,Canada,0,At age 65,Males,"Low 95% confidence interval, life expectancy",v53826689,1.2.2.2,18.3
2007/2009,Canada,0,At age 65,Males,"Low 95% confidence interval, life expectancy",v53826689,1.2.2.2,18.5
2000/2002,Canada,0,At age 65,Males,"High 95% confidence interval, life expectancy",v53826690,1.2.2.3,17.1
2005/2007,Canada,0,At age 65,Males,"High 95% confidence interval, life expectancy",v53826690,1.2.2.3,18.2
2006/2008,Canada,0,At age 65,Males,"High 95% confidence interval, life expectancy",v53826690,1.2.2.3,18.4
2007/2009,Canada,0,At age 65,Males,"High 95% confidence interval, life expectancy",v53826690,1.2.2.3,18.5
2000/2002,Canada,0,At age 65,Males,Statistically different from reference period five years previous (number),v53826691,1.2.2.7,..
2005/2007,Canada,0,At age 65,Males,Statistically different from reference period five years previous (number),v53826691,1.2.2.7,1.0
2006/2008,Canada,0,At age 65,Males,Statistically different from reference period five years previous (number),v53826691,1.2.2.7,..
2007/2009,Canada,0,At age 65,Males,Statistically different from reference period five years previous (number),v53826691,1.2.2.7,..
2000/2002,Canada,0,At age 65,Females,Life expectancy,v53826692,1.2.3.1,20.5
2005/2007,Canada,0,At age 65,Females,Life expectancy,v53826692,1.2.3.1,21.3
2006/2008,Canada,0,At age 65,Females,Life expectancy,v53826692,1.2.3.1,21.5
2007/2009,Canada,0,At age 65,Females,Life expectancy,v53826692,1.2.3.1,21.6
2000/2002,Canada,0,At age 65,Females,"Low 95% confidence interval, life expectancy",v53826693,1.2.3.2,20.5
2005/2007,Canada,0,At age 65,Females,"Low 95% confidence interval, life expectancy",v53826693,1.2.3.2,21.3
2006/2008,Canada,0,At age 65,Females,"Low 95% confidence interval, life expectancy",v53826693,1.2.3.2,21.4
2007/2009,Canada,0,At age 65,Females,"Low 95% confidence interval, life expectancy",v53826693,1.2.3.2,21.6
2000/2002,Canada,0,At age 65,Females,"High 95% confidence interval, life expectancy",v53826694,1.2.3.3,20.5
2005/2007,Canada,0,At age 65,Females,"High 95% confidence interval, life expectancy",v53826694,1.2.3.3,21.3
2006/2008,Canada,0,At age 65,Females,"High 95% confidence interval, life expectancy",v53826694,1.2.3.3,21.5
2007/2009,Canada,0,At age 65,Females,"High 95% confidence interval, life expectancy",v53826694,1.2.3.3,21.6
2000/2002,Canada,0,At age 65,Females,Statistically different from reference period five years previous (number),v53826695,1.2.3.7,..
2005/2007,Canada,0,At age 65,Females,Statistically different from reference period five years previous (number),v53826695,1.2.3.7,1.0
2006/2008,Canada,0,At age 65,Females,Statistically different from reference period five years previous (number),v53826695,1.2.3.7,..
2007/2009,Canada,0,At age 65,Females,Statistically different from reference period five years previous (number),v53826695,1.2.3.7,..
2000/2002,Newfoundland and Labrador,10,At birth,Both sexes,Life expectancy,v53826696,2.1.1.1,77.9
2005/2007,Newfoundland and Labrador,10,At birth,Both sexes,Life expectancy,v53826696,2.1.1.1,78.3
2006/2008,Newfoundland and Labrador,10,At birth,Both sexes,Life expectancy,v53826696,2.1.1.1,78.5
2007/2009,Newfoundland and Labrador,10,At birth,Both sexes,Life expectancy,v53826696,2.1.1.1,78.9
2000/2002,Newfoundland and Labrador,10,At birth,Both sexes,"Low 95% confidence interval, life expectancy",v53826697,2.1.1.2,77.7
2005/2007,Newfoundland and Labrador,10,At birth,Both sexes,"Low 95% confidence interval, life expectancy",v53826697,2.1.1.2,78.0
2006/2008,Newfoundland and Labrador,10,At birth,Both sexes,"Low 95% confidence interval, life expectancy",v53826697,2.1.1.2,78.3
2007/2009,Newfoundland and Labrador,10,At birth,Both sexes,"Low 95% confidence interval, life expectancy",v53826697,2.1.1.2,78.6
2000/2002,Newfoundland and Labrador,10,At birth,Both sexes,"High 95% confidence interval, life expectancy",v53826698,2.1.1.3,78.1
2005/2007,Newfoundland and Labrador,10,At birth,Both sexes,"High 95% confidence interval, life expectancy",v53826698,2.1.1.3,78.5
2006/2008,Newfoundland and Labrador,10,At birth,Both sexes,"High 95% confidence interval, life expectancy",v53826698,2.1.1.3,78.8
2007/2009,Newfoundland and Labrador,10,At birth,Both sexes,"High 95% confidence interval, life expectancy",v53826698,2.1.1.3,79.1
2000/2002,Newfoundland and Labrador,10,At birth,Both sexes,Statistically different from the Canada rate (number),v53826699,2.1.1.4,-1.0
2005/2007,Newfoundland and Labrador,10,At birth,Both sexes,Statistically different from the Canada rate (number),v53826699,2.1.1.4,-1.0
2006/2008,Newfoundland and Labrador,10,At birth,Both sexes,Statistically different from the Canada rate (number),v53826699,2.1.1.4,-1.0
2007/2009,Newfoundland and Labrador,10,At birth,Both sexes,Statistically different from the Canada rate (number),v53826699,2.1.1.4,-1.0
2000/2002,Newfoundland and Labrador,10,At birth,Both sexes,Statistically different from reference period five years previous (number),v53826700,2.1.1.7,..
2005/2007,Newfoundland and Labrador,10,At birth,Both sexes,Statistically different from reference period five years previous (number),v53826700,2.1.1.7,1.0
2006/2008,Newfoundland and Labrador,10,At birth,Both sexes,Statistically different from reference period five years previous (number),v53826700,2.1.1.7,..
2007/2009,Newfoundland and Labrador,10,At birth,Both sexes,Statistically different from reference period five years previous (number),v53826700,2.1.1.7,..
2000/2002,Newfoundland and Labrador,10,At birth,Males,Life expectancy,v53826701,2.1.2.1,75.3
2005/2007,Newfoundland and Labrador,10,At birth,Males,Life expectancy,v53826701,2.1.2.1,75.8
2006/2008,Newfoundland and Labrador,10,At birth,Males,Life expectancy,v53826701,2.1.2.1,76.2
2007/2009,Newfoundland and Labrador,10,At birth,Males,Life expectancy,v53826701,2.1.2.1,76.5
2000/2002,Newfoundland and Labrador,10,At birth,Males,"Low 95% confidence interval, life expectancy",v53826702,2.1.2.2,75.0
2005/2007,Newfoundland and Labrador,10,At birth,Males,"Low 95% confidence interval, life expectancy",v53826702,2.1.2.2,75.5
2006/2008,Newfoundland and Labrador,10,At birth,Males,"Low 95% confidence interval, life expectancy",v53826702,2.1.2.2,75.9
2007/2009,Newfoundland and Labrador,10,At birth,Males,"Low 95% confidence interval, life expectancy",v53826702,2.1.2.2,76.2
2000/2002,Newfoundland and Labrador,10,At birth,Males,"High 95% confidence interval, life expectancy",v53826703,2.1.2.3,75.6
2005/2007,Newfoundland and Labrador,10,At birth,Males,"High 95% confidence interval, life expectancy",v53826703,2.1.2.3,76.1
2006/2008,Newfoundland and Labrador,10,At birth,Males,"High 95% confidence interval, life expectancy",v53826703,2.1.2.3,76.5
2007/2009,Newfoundland and Labrador,10,At birth,Males,"High 95% confidence interval, life expectancy",v53826703,2.1.2.3,76.8
2000/2002,Newfoundland and Labrador,10,At birth,Males,Statistically different from the Canada rate (number),v53826704,2.1.2.4,-1.0
2005/2007,Newfoundland and Labrador,10,At birth,Males,Statistically different from the Canada rate (number),v53826704,2.1.2.4,-1.0
2006/2008,Newfoundland and Labrador,10,At birth,Males,Statistically different from the Canada rate (number),v53826704,2.1.2.4,-1.0
2007/2009,Newfoundland and Labrador,10,At birth,Males,Statistically different from the Canada rate (number),v53826704,2.1.2.4,-1.0
2000/2002,Newfoundland and Labrador,10,At birth,Males,Statistically different from reference period five years previous (number),v53826705,2.1.2.7,..
2005/2007,Newfoundland and Labrador,10,At birth,Males,Statistically different from reference period five years previous (number),v53826705,2.1.2.7,1.0
2006/2008,Newfoundland and Labrador,10,At birth,Males,Statistically different from reference period five years previous (number),v53826705,2.1.2.7,..
2007/2009,Newfoundland and Labrador,10,At birth,Males,Statistically different from reference period five years previous (number),v53826705,2.1.2.7,..
2000/2002,Newfoundland and Labrador,10,At birth,Females,Life expectancy,v53826706,2.1.3.1,80.6
2005/2007,Newfoundland and Labrador,10,At birth,Females,Life expectancy,v53826706,2.1.3.1,80.8
2006/2008,Newfoundland and Labrador,10,At birth,Females,Life expectancy,v53826706,2.1.3.1,80.9
2007/2009,Newfoundland and Labrador,10,At birth,Females,Life expectancy,v53826706,2.1.3.1,81.2
2000/2002,Newfoundland and Labrador,10,At birth,Females,"Low 95% confidence interval, life expectancy",v53826707,2.1.3.2,80.3
2005/2007,Newfoundland and Labrador,10,At birth,Females,"Low 95% confidence interval, life expectancy",v53826707,2.1.3.2,80.4
2006/2008,Newfoundland and Labrador,10,At birth,Females,"Low 95% confidence interval, life expectancy",v53826707,2.1.3.2,80.5
2007/2009,Newfoundland and Labrador,10,At birth,Females,"Low 95% confidence interval, life expectancy",v53826707,2.1.3.2,80.9
2000/2002,Newfoundland and Labrador,10,At birth,Females,"High 95% confidence interval, life expectancy",v53826708,2.1.3.3,80.9
2005/2007,Newfoundland and Labrador,10,At birth,Females,"High 95% confidence interval, life expectancy",v53826708,2.1.3.3,81.1
2006/2008,Newfoundland and Labrador,10,At birth,Females,"High 95% confidence interval, life expectancy",v53826708,2.1.3.3,81.2
2007/2009,Newfoundland and Labrador,10,At birth,Females,"High 95% confidence interval, life expectancy",v53826708,2.1.3.3,81.5
2000/2002,Newfoundland and Labrador,10,At birth,Females,Statistically different from the Canada rate (number),v53826709,2.1.3.4,-1.0
2005/2007,Newfoundland and Labrador,10,At birth,Females,Statistically different from the Canada rate (number),v53826709,2.1.3.4,-1.0
2006/2008,Newfoundland and Labrador,10,At birth,Females,Statistically different from the Canada rate (number),v53826709,2.1.3.4,-1.0
2007/2009,Newfoundland and Labrador,10,At birth,Females,Statistically different from the Canada rate (number),v53826709,2.1.3.4,-1.0
2000/2002,Newfoundland and Labrador,10,At birth,Females,Statistically different from reference period five years previous (number),v53826710,2.1.3.7,..
2005/2007,Newfoundland and Labrador,10,At birth,Females,Statistically different from reference period five years previous (number),v53826710,2.1.3.7,0.0
2006/2008,Newfoundland and Labrador,10,At birth,Females,Statistically different from reference period five years previous (number),v53826710,2.1.3.7,..
2007/2009,Newfoundland and Labrador,10,At birth,Females,Statistically different from reference period five years previous (number),v53826710,2.1.3.7,..
2000/2002,Newfoundland and Labrador,10,At age 65,Both sexes,Life expectancy,v53826711,2.2.1.1,17.3
2005/2007,Newfoundland and Labrador,10,At age 65,Both sexes,Life expectancy,v53826711,2.2.1.1,17.9
2006/2008,Newfoundland and Labrador,10,At age 65,Both sexes,Life expectancy,v53826711,2.2.1.1,18.0
2007/2009,Newfoundland and Labrador,10,At age 65,Both sexes,Life expectancy,v53826711,2.2.1.1,18.2
2000/2002,Newfoundland and Labrador,10,At age 65,Both sexes,"Low 95% confidence interval, life expectancy",v53826712,2.2.1.2,17.2
2005/2007,Newfoundland and Labrador,10,At age 65,Both sexes,"Low 95% confidence interval, life expectancy",v53826712,2.2.1.2,17.7
2006/2008,Newfoundland and Labrador,10,At age 65,Both sexes,"Low 95% confidence interval, life expectancy",v53826712,2.2.1.2,17.9
2007/2009,Newfoundland and Labrador,10,At age 65,Both sexes,"Low 95% confidence interval, life expectancy",v53826712,2.2.1.2,18.1
2000/2002,Newfoundland and Labrador,10,At age 65,Both sexes,"High 95% confidence interval, life expectancy",v53826713,2.2.1.3,17.5
2005/2007,Newfoundland and Labrador,10,At age 65,Both sexes,"High 95% confidence interval, life expectancy",v53826713,2.2.1.3,18.0
2006/2008,Newfoundland and Labrador,10,At age 65,Both sexes,"High 95% confidence interval, life expectancy",v53826713,2.2.1.3,18.2
2007/2009,Newfoundland and Labrador,10,At age 65,Both sexes,"High 95% confidence interval, life expectancy",v53826713,2.2.1.3,18.4
2000/2002,Newfoundland and Labrador,10,At age 65,Both sexes,Statistically different from the Canada rate (number),v53826714,2.2.1.4,-1.0
2005/2007,Newfoundland and Labrador,10,At age 65,Both sexes,Statistically different from the Canada rate (number),v53826714,2.2.1.4,-1.0
2006/2008,Newfoundland and Labrador,10,At age 65,Both sexes,Statistically different from the Canada rate (number),v53826714,2.2.1.4,-1.0
2007/2009,Newfoundland and Labrador,10,At age 65,Both sexes,Statistically different from the Canada rate (number),v53826714,2.2.1.4,-1.0
2000/2002,Newfoundland and Labrador,10,At age 65,Both sexes,Statistically different from reference period five years previous (number),v53826715,2.2.1.7,..
2005/2007,Newfoundland and Labrador,10,At age 65,Both sexes,Statistically different from reference period five years previous (number),v53826715,2.2.1.7,1.0
2006/2008,Newfoundland and Labrador,10,At age 65,Both sexes,Statistically different from reference period five years previous (number),v53826715,2.2.1.7,..
2007/2009,Newfoundland and Labrador,10,At age 65,Both sexes,Statistically different from reference period five years previous (number),v53826715,2.2.1.7,..
2000/2002,Newfoundland and Labrador,10,At age 65,Males,Life expectancy,v53826716,2.2.2.1,15.4
2005/2007,Newfoundland and Labrador,10,At age 65,Males,Life expectancy,v53826716,2.2.2.1,16.2
2006/2008,Newfoundland and Labrador,10,At age 65,Males,Life expectancy,v53826716,2.2.2.1,16.5
2007/2009,Newfoundland and Labrador,10,At age 65,Males,Life expectancy,v53826716,2.2.2.1,16.6
2000/2002,Newfoundland and Labrador,10,At age 65,Males,"Low 95% confidence interval, life expectancy",v53826717,2.2.2.2,15.2
2005/2007,Newfoundland and Labrador,10,At age 65,Males,"Low 95% confidence interval, life expectancy",v53826717,2.2.2.2,16.0
2006/2008,Newfoundland and Labrador,10,At age 65,Males,"Low 95% confidence interval, life expectancy",v53826717,2.2.2.2,16.3
2007/2009,Newfoundland and Labrador,10,At age 65,Males,"Low 95% confidence interval, life expectancy",v53826717,2.2.2.2,16.4
2000/2002,Newfoundland and Labrador,10,At age 65,Males,"High 95% confidence interval, life expectancy",v53826718,2.2.2.3,15.6
2005/2007,Newfoundland and Labrador,10,At age 65,Males,"High 95% confidence interval, life expectancy",v53826718,2.2.2.3,16.4
2006/2008,Newfoundland and Labrador,10,At age 65,Males,"High 95% confidence interval, life expectancy",v53826718,2.2.2.3,16.7
2007/2009,Newfoundland and Labrador,10,At age 65,Males,"High 95% confidence interval, life expectancy",v53826718,2.2.2.3,16.8
2000/2002,Newfoundland and Labrador,10,At age 65,Males,Statistically different from the Canada rate (number),v53826719,2.2.2.4,-1.0
2005/2007,Newfoundland and Labrador,10,At age 65,Males,Statistically different from the Canada rate (number),v53826719,2.2.2.4,-1.0
2006/2008,Newfoundland and Labrador,10,At age 65,Males,Statistically different from the Canada rate (number),v53826719,2.2.2.4,-1.0
2007/2009,Newfoundland and Labrador,10,At age 65,Males,Statistically different from the Canada rate (number),v53826719,2.2.2.4,-1.0
2000/2002,Newfoundland and Labrador,10,At age 65,Males,Statistically different from reference period five years previous (number),v53826720,2.2.2.7,..
2005/2007,Newfoundland and Labrador,10,At age 65,Males,Statistically different from reference period five years previous (number),v53826720,2.2.2.7,1.0
2006/2008,Newfoundland and Labrador,10,At age 65,Males,Statistically different from reference period five years previous (number),v53826720,2.2.2.7,..
2007/2009,Newfoundland and Labrador,10,At age 65,Males,Statistically different from reference period five years previous (number),v53826720,2.2.2.7,..
2000/2002,Newfoundland and Labrador,10,At age 65,Females,Life expectancy,v53826721,2.2.3.1,19.2
2005/2007,Newfoundland and Labrador,10,At age 65,Females,Life expectancy,v53826721,2.2.3.1,19.5
2006/2008,Newfoundland and Labrador,10,At age 65,Females,Life expectancy,v53826721,2.2.3.1,19.4
2007/2009,Newfoundland and Labrador,10,At age 65,Females,Life expectancy,v53826721,2.2.3.1,19.7
2000/2002,Newfoundland and Labrador,10,At age 65,Females,"Low 95% confidence interval, life expectancy",v53826722,2.2.3.2,19.0
2005/2007,Newfoundland and Labrador,10,At age 65,Females,"Low 95% confidence interval, life expectancy",v53826722,2.2.3.2,19.2
2006/2008,Newfoundland and Labrador,10,At age 65,Females,"Low 95% confidence interval, life expectancy",v53826722,2.2.3.2,19.2
2007/2009,Newfoundland and Labrador,10,At age 65,Females,"Low 95% confidence interval, life expectancy",v53826722,2.2.3.2,19.5
2000/2002,Newfoundland and Labrador,10,At age 65,Females,"High 95% confidence interval, life expectancy",v53826723,2.2.3.3,19.4
2005/2007,Newfoundland and Labrador,10,At age 65,Females,"High 95% confidence interval, life expectancy",v53826723,2.2.3.3,19.7
2006/2008,Newfoundland and Labrador,10,At age 65,Females,"High 95% confidence interval, life expectancy",v53826723,2.2.3.3,19.7
2007/2009,Newfoundland and Labrador,10,At age 65,Females,"High 95% confidence interval, life expectancy",v53826723,2.2.3.3,19.9
2000/2002,Newfoundland and Labrador,10,At age 65,Females,Statistically different from the Canada rate (number),v53826724,2.2.3.4,-1.0
2005/2007,Newfoundland and Labrador,10,At age 65,Females,Statistically different from the Canada rate (number),v53826724,2.2.3.4,-1.0
2006/2008,Newfoundland and Labrador,10,At age 65,Females,Statistically different from the Canada rate (number),v53826724,2.2.3.4,-1.0
2007/2009,Newfoundland and Labrador,10,At age 65,Females,Statistically different from the Canada rate (number),v53826724,2.2.3.4,-1.0
2000/2002,Newfoundland and Labrador,10,At age 65,Females,Statistically different from reference period five years previous (number),v53826725,2.2.3.7,..
2005/2007,Newfoundland and Labrador,10,At age 65,Females,Statistically different from reference period five years previous (number),v53826725,2.2.3.7,0.0
2006/2008,Newfoundland and Labrador,10,At age 65,Females,Statistically different from reference period five years previous (number),v53826725,2.2.3.7,..
2007/2009,Newfoundland and Labrador,10,At age 65,Females,Statistically different from reference period five years previous (number),v53826725,2.2.3.7,..
2000/2002,"Eastern Regional Integrated Health Authority, Newfoundland and Labrador",1011-C,At birth,Both sexes,Life expectancy,v53826726,3.1.1.1,78.7
2005/2007,"Eastern Regional Integrated Health Authority, Newfoundland and Labrador",1011-C,At birth,Both sexes,Life expectancy,v53826726,3.1.1.1,78.2
2006/2008,"Eastern Regional Integrated Health Authority, Newfoundland and Labrador",1011-C,At birth,Both sexes,Life expectancy,v53826726,3.1.1.1,78.5
2007/2009,"Eastern Regional Integrated Health Authority, Newfoundland and Labrador",1011-C,At birth,Both sexes,Life expectancy,v53826726,3.1.1.1,78.8
2000/2002,"Eastern Regional Integrated Health Authority, Newfoundland and Labrador",1011-C,At birth,Both sexes,"Low 95% confidence interval, life expectancy",v53826727,3.1.1.2,78.4
2005/2007,"Eastern Regional Integrated Health Authority, Newfoundland and Labrador",1011-C,At birth,Both sexes,"Low 95% confidence interval, life expectancy",v53826727,3.1.1.2,77.9
2006/2008,"Eastern Regional Integrated Health Authority, Newfoundland and Labrador",1011-C,At birth,Both sexes,"Low 95% confidence interval, life expectancy",v53826727,3.1.1.2,78.2
2007/2009,"Eastern Regional Integrated Health Authority, Newfoundland and Labrador",1011-C,At birth,Both sexes,"Low 95% confidence interval, life expectancy",v53826727,3.1.1.2,78.5
2000/2002,"Eastern Regional Integrated Health Authority, Newfoundland and Labrador",1011-C,At birth,Both sexes,"High 95% confidence interval, life expectancy",v53826728,3.1.1.3,79.0
2005/2007,"Eastern Regional Integrated Health Authority, Newfoundland and Labrador",1011-C,At birth,Both sexes,"High 95% confidence interval, life expectancy",v53826728,3.1.1.3,78.5
2006/2008,"Eastern Regional Integrated Health Authority, Newfoundland and Labrador",1011-C,At birth,Both sexes,"High 95% confidence interval, life expectancy",v53826728,3.1.1.3,78.8
2007/2009,"Eastern Regional Integrated Health Authority, Newfoundland and Labrador",1011-C,At birth,Both sexes,"High 95% confidence interval, life expectancy",v53826728,3.1.1.3,79.1
2000/2002,"Eastern Regional Integrated Health Authority, Newfoundland and Labrador",1011-C,At birth,Both sexes,Statistically different from the Canada rate (number),v53826729,3.1.1.4,-1.0
2005/2007,"Eastern Regional Integrated Health Authority, Newfoundland and Labrador",1011-C,At birth,Both sexes,Statistically different from the Canada rate (number),v53826729,3.1.1.4,-1.0
2006/2008,"Eastern Regional Integrated Health Authority, Newfoundland and Labrador",1011-C,At birth,Both sexes,Statistically different from the Canada rate (number),v53826729,3.1.1.4,-1.0
2007/2009,"Eastern Regional Integrated Health Authority, Newfoundland and Labrador",1011-C,At birth,Both sexes,Statistically different from the Canada rate (number),v53826729,3.1.1.4,-1.0
2000/2002,"Eastern Regional Integrated Health Authority, Newfoundland and Labrador",1011-C,At birth,Both sexes,Statistically different from the provincial rate (number),v53826730,3.1.1.5,1.0
2005/2007,"Eastern Regional Integrated Health Authority, Newfoundland and Labrador",1011-C,At birth,Both sexes,Statistically different from the provincial rate (number),v53826730,3.1.1.5,0.0
2006/2008,"Eastern Regional Integrated Health Authority, Newfoundland and Labrador",1011-C,At birth,Both sexes,Statistically different from the provincial rate (number),v53826730,3.1.1.5,0.0
2007/2009,"Eastern Regional Integrated Health Authority, Newfoundland and Labrador",1011-C,At birth,Both sexes,Statistically different from the provincial rate (number),v53826730,3.1.1.5,0.0
2000/2002,"Eastern Regional Integrated Health Authority, Newfoundland and Labrador",1011-C,At birth,Both sexes,Statistically different from the peer group rate (number),v53826731,3.1.1.6,0.0
