"Geography (2,3)",Age group,Sex,Indicators,"Characteristics (50,51,52,53,54,71,84,87)",2013
"Central Regional Integrated Health Authority, Newfoundland and Labrador [1012-I] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,35.4
"Central Regional Integrated Health Authority, Newfoundland and Labrador [1012-I] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,78.3
"Central Regional Integrated Health Authority, Newfoundland and Labrador [1012-I] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,85.9
"Central Regional Integrated Health Authority, Newfoundland and Labrador [1012-I] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,80.8
"Central Regional Integrated Health Authority, Newfoundland and Labrador [1012-I] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,27.3
"Central Regional Integrated Health Authority, Newfoundland and Labrador [1012-I] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,6.7
"Central Regional Integrated Health Authority, Newfoundland and Labrador [1012-I] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,18.9
"Central Regional Integrated Health Authority, Newfoundland and Labrador [1012-I] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,9.8
"Central Regional Integrated Health Authority, Newfoundland and Labrador [1012-I] ","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,4.8
"Western Regional Integrated Health Authority, Newfoundland and Labrador [1013-I] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,93.2
"Western Regional Integrated Health Authority, Newfoundland and Labrador [1013-I] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,28.1
"Western Regional Integrated Health Authority, Newfoundland and Labrador [1013-I] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,13.1
"Western Regional Integrated Health Authority, Newfoundland and Labrador [1013-I] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,8.1
"Western Regional Integrated Health Authority, Newfoundland and Labrador [1013-I] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,26.8
"Western Regional Integrated Health Authority, Newfoundland and Labrador [1013-I] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,22.6
"Western Regional Integrated Health Authority, Newfoundland and Labrador [1013-I] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,22.9
"Western Regional Integrated Health Authority, Newfoundland and Labrador [1013-I] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,30.5
"Western Regional Integrated Health Authority, Newfoundland and Labrador [1013-I] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,55.5
"Western Regional Integrated Health Authority, Newfoundland and Labrador [1013-I] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,44.5
"Western Regional Integrated Health Authority, Newfoundland and Labrador [1013-I] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,64.5
"Western Regional Integrated Health Authority, Newfoundland and Labrador [1013-I] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,F
"Western Regional Integrated Health Authority, Newfoundland and Labrador [1013-I] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,82.1
"Western Regional Integrated Health Authority, Newfoundland and Labrador [1013-I] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,91
"Western Regional Integrated Health Authority, Newfoundland and Labrador [1013-I] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,77
"Western Regional Integrated Health Authority, Newfoundland and Labrador [1013-I] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,30.2
"Western Regional Integrated Health Authority, Newfoundland and Labrador [1013-I] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,6.3
"Western Regional Integrated Health Authority, Newfoundland and Labrador [1013-I] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,38
"Western Regional Integrated Health Authority, Newfoundland and Labrador [1013-I] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,16.8
"Western Regional Integrated Health Authority, Newfoundland and Labrador [1013-I] ","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,4.8
"Labrador-Grenfell Regional Integrated Health Authority, Newfoundland and Labrador [1014-H] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,95.2
"Labrador-Grenfell Regional Integrated Health Authority, Newfoundland and Labrador [1014-H] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,15
"Labrador-Grenfell Regional Integrated Health Authority, Newfoundland and Labrador [1014-H] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,6.7
"Labrador-Grenfell Regional Integrated Health Authority, Newfoundland and Labrador [1014-H] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,10.7
"Labrador-Grenfell Regional Integrated Health Authority, Newfoundland and Labrador [1014-H] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,20.3
"Labrador-Grenfell Regional Integrated Health Authority, Newfoundland and Labrador [1014-H] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,19.2
"Labrador-Grenfell Regional Integrated Health Authority, Newfoundland and Labrador [1014-H] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,21.4
"Labrador-Grenfell Regional Integrated Health Authority, Newfoundland and Labrador [1014-H] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,26.6
"Labrador-Grenfell Regional Integrated Health Authority, Newfoundland and Labrador [1014-H] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,47
"Labrador-Grenfell Regional Integrated Health Authority, Newfoundland and Labrador [1014-H] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,53
"Labrador-Grenfell Regional Integrated Health Authority, Newfoundland and Labrador [1014-H] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,80.7
"Labrador-Grenfell Regional Integrated Health Authority, Newfoundland and Labrador [1014-H] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,F
"Labrador-Grenfell Regional Integrated Health Authority, Newfoundland and Labrador [1014-H] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,83.3
"Labrador-Grenfell Regional Integrated Health Authority, Newfoundland and Labrador [1014-H] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,66.2
"Labrador-Grenfell Regional Integrated Health Authority, Newfoundland and Labrador [1014-H] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,75.4
"Labrador-Grenfell Regional Integrated Health Authority, Newfoundland and Labrador [1014-H] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,28.2
"Labrador-Grenfell Regional Integrated Health Authority, Newfoundland and Labrador [1014-H] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,9.3
"Labrador-Grenfell Regional Integrated Health Authority, Newfoundland and Labrador [1014-H] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,F
"Labrador-Grenfell Regional Integrated Health Authority, Newfoundland and Labrador [1014-H] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,11.9
"Labrador-Grenfell Regional Integrated Health Authority, Newfoundland and Labrador [1014-H] ","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,F
Prince Edward Island [1100-A]  (4),"Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,93.7
Prince Edward Island [1100-A]  (4),"Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,21
Prince Edward Island [1100-A]  (4),"Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,8.9
Prince Edward Island [1100-A]  (4),"Total, 12 years and over",Both sexes,Asthma (24),Percent,7.7
Prince Edward Island [1100-A]  (4),"Total, 12 years and over",Both sexes,High blood pressure (25),Percent,23.5
Prince Edward Island [1100-A]  (4),"Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,19.3
Prince Edward Island [1100-A]  (4),"Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,20.5
Prince Edward Island [1100-A]  (4),"Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,32.5
Prince Edward Island [1100-A]  (4),"Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,48.4
Prince Edward Island [1100-A]  (4),"Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,51.6
Prince Edward Island [1100-A]  (4),"Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,64.4
Prince Edward Island [1100-A]  (4),"Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,21.5
Prince Edward Island [1100-A]  (4),"Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,72.3
Prince Edward Island [1100-A]  (4),"Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,87.6
Prince Edward Island [1100-A]  (4),"Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,81.5
Prince Edward Island [1100-A]  (4),"Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,32
Prince Edward Island [1100-A]  (4),"Total, 12 years and over",Both sexes,Mood disorder (70),Percent,10.3
Prince Edward Island [1100-A]  (4),"Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,66.4
Prince Edward Island [1100-A]  (4),"Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,16
Prince Edward Island [1100-A]  (4),"Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,5
"South Shore/South West Nova, Nova Scotia [1210-C]  (5)","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,87.8
"South Shore/South West Nova, Nova Scotia [1210-C]  (5)","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,27.1
"South Shore/South West Nova, Nova Scotia [1210-C]  (5)","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,13.9
"South Shore/South West Nova, Nova Scotia [1210-C]  (5)","Total, 12 years and over",Both sexes,Asthma (24),Percent,10.2
"South Shore/South West Nova, Nova Scotia [1210-C]  (5)","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,28.4
"South Shore/South West Nova, Nova Scotia [1210-C]  (5)","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,20.6
"South Shore/South West Nova, Nova Scotia [1210-C]  (5)","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,18.5
"South Shore/South West Nova, Nova Scotia [1210-C]  (5)","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,28.8
"South Shore/South West Nova, Nova Scotia [1210-C]  (5)","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,45.5
"South Shore/South West Nova, Nova Scotia [1210-C]  (5)","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,54.5
"South Shore/South West Nova, Nova Scotia [1210-C]  (5)","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,67.2
"South Shore/South West Nova, Nova Scotia [1210-C]  (5)","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,F
"South Shore/South West Nova, Nova Scotia [1210-C]  (5)","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,78.4
"South Shore/South West Nova, Nova Scotia [1210-C]  (5)","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,87
"South Shore/South West Nova, Nova Scotia [1210-C]  (5)","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,79.2
"South Shore/South West Nova, Nova Scotia [1210-C]  (5)","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,38.6
"South Shore/South West Nova, Nova Scotia [1210-C]  (5)","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,12.4
"South Shore/South West Nova, Nova Scotia [1210-C]  (5)","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,61.2
"South Shore/South West Nova, Nova Scotia [1210-C]  (5)","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,15.2
"South Shore/South West Nova, Nova Scotia [1210-C]  (5)","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,6.5
"Annapolis Valley District Health Authority, Nova Scotia [1223-C]  (5)","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,89.6
"Annapolis Valley District Health Authority, Nova Scotia [1223-C]  (5)","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,32.3
"Annapolis Valley District Health Authority, Nova Scotia [1223-C]  (5)","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,9
"Annapolis Valley District Health Authority, Nova Scotia [1223-C]  (5)","Total, 12 years and over",Both sexes,Asthma (24),Percent,8.4
"Annapolis Valley District Health Authority, Nova Scotia [1223-C]  (5)","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,20.3
"Annapolis Valley District Health Authority, Nova Scotia [1223-C]  (5)","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,26.5
"Annapolis Valley District Health Authority, Nova Scotia [1223-C]  (5)","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,20.7
"Annapolis Valley District Health Authority, Nova Scotia [1223-C]  (5)","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,35.6
"Annapolis Valley District Health Authority, Nova Scotia [1223-C]  (5)","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,50
"Annapolis Valley District Health Authority, Nova Scotia [1223-C]  (5)","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,50
"Annapolis Valley District Health Authority, Nova Scotia [1223-C]  (5)","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,59.6
"Annapolis Valley District Health Authority, Nova Scotia [1223-C]  (5)","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,F
"Annapolis Valley District Health Authority, Nova Scotia [1223-C]  (5)","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,70.6
"Annapolis Valley District Health Authority, Nova Scotia [1223-C]  (5)","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,91.9
"Annapolis Valley District Health Authority, Nova Scotia [1223-C]  (5)","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,85.4
"Annapolis Valley District Health Authority, Nova Scotia [1223-C]  (5)","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,45.4
"Annapolis Valley District Health Authority, Nova Scotia [1223-C]  (5)","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,11.5
"Annapolis Valley District Health Authority, Nova Scotia [1223-C]  (5)","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,55.7
"Annapolis Valley District Health Authority, Nova Scotia [1223-C]  (5)","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,15.6
"Annapolis Valley District Health Authority, Nova Scotia [1223-C]  (5)","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,4.7
"Colchester East Hants/Cumberland, Nova Scotia [1230-C]  (5)","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,91.2
"Colchester East Hants/Cumberland, Nova Scotia [1230-C]  (5)","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,27.2
"Colchester East Hants/Cumberland, Nova Scotia [1230-C]  (5)","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,4.6
"Colchester East Hants/Cumberland, Nova Scotia [1230-C]  (5)","Total, 12 years and over",Both sexes,Asthma (24),Percent,9
"Colchester East Hants/Cumberland, Nova Scotia [1230-C]  (5)","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,21.1
"Colchester East Hants/Cumberland, Nova Scotia [1230-C]  (5)","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,25.3
"Colchester East Hants/Cumberland, Nova Scotia [1230-C]  (5)","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,18.3
"Colchester East Hants/Cumberland, Nova Scotia [1230-C]  (5)","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,25.6
"Colchester East Hants/Cumberland, Nova Scotia [1230-C]  (5)","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,46.6
"Colchester East Hants/Cumberland, Nova Scotia [1230-C]  (5)","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,53.4
"Colchester East Hants/Cumberland, Nova Scotia [1230-C]  (5)","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,64.4
"Colchester East Hants/Cumberland, Nova Scotia [1230-C]  (5)","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,F
"Colchester East Hants/Cumberland, Nova Scotia [1230-C]  (5)","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,68
"Colchester East Hants/Cumberland, Nova Scotia [1230-C]  (5)","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,93
"Colchester East Hants/Cumberland, Nova Scotia [1230-C]  (5)","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,81
"Colchester East Hants/Cumberland, Nova Scotia [1230-C]  (5)","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,46.2
"Colchester East Hants/Cumberland, Nova Scotia [1230-C]  (5)","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,9.4
"Colchester East Hants/Cumberland, Nova Scotia [1230-C]  (5)","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,61.9
"Colchester East Hants/Cumberland, Nova Scotia [1230-C]  (5)","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,17.9
"Colchester East Hants/Cumberland, Nova Scotia [1230-C]  (5)","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,4.1
"Pictou County /Guysborough Antigonish Strait, Nova Scotia [1240-C]  (5)","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,93.9
"Pictou County /Guysborough Antigonish Strait, Nova Scotia [1240-C]  (5)","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,27.3
"Pictou County /Guysborough Antigonish Strait, Nova Scotia [1240-C]  (5)","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,9.2
"Pictou County /Guysborough Antigonish Strait, Nova Scotia [1240-C]  (5)","Total, 12 years and over",Both sexes,Asthma (24),Percent,15.2
"Pictou County /Guysborough Antigonish Strait, Nova Scotia [1240-C]  (5)","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,21.3
"Pictou County /Guysborough Antigonish Strait, Nova Scotia [1240-C]  (5)","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,21.1
"Pictou County /Guysborough Antigonish Strait, Nova Scotia [1240-C]  (5)","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,21
"Pictou County /Guysborough Antigonish Strait, Nova Scotia [1240-C]  (5)","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,31.8
"Pictou County /Guysborough Antigonish Strait, Nova Scotia [1240-C]  (5)","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,51.1
"Pictou County /Guysborough Antigonish Strait, Nova Scotia [1240-C]  (5)","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,48.9
"Pictou County /Guysborough Antigonish Strait, Nova Scotia [1240-C]  (5)","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,63.5
"Pictou County /Guysborough Antigonish Strait, Nova Scotia [1240-C]  (5)","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,F
"Pictou County /Guysborough Antigonish Strait, Nova Scotia [1240-C]  (5)","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,78.8
"Pictou County /Guysborough Antigonish Strait, Nova Scotia [1240-C]  (5)","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,93.8
"Pictou County /Guysborough Antigonish Strait, Nova Scotia [1240-C]  (5)","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,84.8
"Pictou County /Guysborough Antigonish Strait, Nova Scotia [1240-C]  (5)","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,38.3
"Pictou County /Guysborough Antigonish Strait, Nova Scotia [1240-C]  (5)","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,6.5
